epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,9714.5,0.70915,0.75954,0.28491,0.42448,0.44858,0.39234,0.22251,0.62743,0.83221,0.30439,0.008614,0.008614,0.008614
44,9924.49,0.68805,0.75409,0.27467,0.45756,0.45014,0.40982,0.24087,0.59839,0.84022,0.28531,0.008581,0.008581,0.008581
45,10158.7,0.68973,0.7535,0.2775,0.45515,0.48543,0.42485,0.2481,0.59156,0.8178,0.28223,0.008548,0.008548,0.008548
46,10365.2,0.68954,0.74446,0.27487,0.46302,0.46484,0.43658,0.24822,0.60144,0.82376,0.29031,0.008515,0.008515,0.008515
47,10574,0.67238,0.75293,0.26761,0.48973,0.471,0.44136,0.25155,0.59952,0.81285,0.2904,0.008482,0.008482,0.008482
48,10815.5,0.67159,0.74549,0.26818,0.50006,0.49293,0.4662,0.26888,0.58234,0.79423,0.28715,0.008449,0.008449,0.008449
49,11062.9,0.67694,0.7379,0.26354,0.50178,0.49566,0.48483,0.27544,0.58342,0.78775,0.28243,0.008416,0.008416,0.008416
50,11341.6,0.67281,0.73585,0.26601,0.51249,0.50851,0.4876,0.27764,0.57806,0.7764,0.28656,0.008383,0.008383,0.008383
51,11551.2,0.64796,0.74267,0.2632,0.49715,0.50752,0.47519,0.27617,0.57399,0.78727,0.27947,0.00835,0.00835,0.00835
52,11773.3,0.64659,0.73466,0.25564,0.51071,0.50606,0.49764,0.29045,0.56453,0.78678,0.2712,0.008317,0.008317,0.008317
53,11964.9,0.64655,0.72089,0.25625,0.52953,0.54928,0.52591,0.30722,0.57355,0.74303,0.27758,0.008284,0.008284,0.008284
54,12181.6,0.64586,0.72748,0.25389,0.54842,0.53441,0.53612,0.31192,0.56703,0.73668,0.27178,0.008251,0.008251,0.008251
55,12390.9,0.64683,0.71608,0.25397,0.56314,0.54728,0.53638,0.31126,0.56621,0.74162,0.27526,0.008218,0.008218,0.008218
56,12647.8,0.63708,0.72489,0.25466,0.58352,0.54139,0.56263,0.3305,0.55034,0.74194,0.26547,0.008185,0.008185,0.008185
57,12869.4,0.63824,0.70406,0.25097,0.6151,0.54337,0.56349,0.32612,0.5571,0.73532,0.27743,0.008152,0.008152,0.008152
58,13131.9,0.6398,0.71259,0.2543,0.59945,0.56674,0.56899,0.33212,0.54532,0.72087,0.26767,0.008119,0.008119,0.008119
59,13361.8,0.62838,0.69915,0.2449,0.62266,0.5654,0.58288,0.33661,0.55049,0.72262,0.26943,0.008086,0.008086,0.008086
60,13581.6,0.63097,0.7005,0.24174,0.59767,0.59294,0.59515,0.35358,0.533,0.72576,0.26278,0.008053,0.008053,0.008053
61,13826.5,0.63452,0.69234,0.24466,0.61182,0.57767,0.58969,0.34903,0.5469,0.69678,0.26751,0.00802,0.00802,0.00802
62,14019.7,0.62558,0.6983,0.24879,0.62369,0.59127,0.60384,0.3636,0.52565,0.69278,0.25734,0.007987,0.007987,0.007987
63,14203.5,0.63077,0.68419,0.24309,0.61156,0.56865,0.60388,0.35752,0.53414,0.69883,0.26628,0.007954,0.007954,0.007954
64,14441.4,0.61976,0.68876,0.25013,0.64191,0.60553,0.61815,0.36334,0.52386,0.69517,0.2592,0.007921,0.007921,0.007921
65,14663.2,0.62205,0.68723,0.24099,0.62607,0.60295,0.62691,0.37105,0.53364,0.67858,0.26515,0.007888,0.007888,0.007888
66,14859.6,0.61047,0.6785,0.23945,0.64247,0.62537,0.63665,0.37901,0.52089,0.66983,0.26338,0.007855,0.007855,0.007855
67,15019.8,0.61926,0.68116,0.23879,0.6714,0.62699,0.65525,0.38887,0.51696,0.6554,0.25745,0.007822,0.007822,0.007822
68,15203.2,0.61326,0.67698,0.23453,0.64656,0.6183,0.65121,0.38268,0.52561,0.65431,0.26561,0.007789,0.007789,0.007789
69,15408.8,0.61605,0.66873,0.23915,0.67518,0.62557,0.65864,0.39382,0.5171,0.64322,0.24692,0.007756,0.007756,0.007756
70,15624.3,0.59893,0.66264,0.23186,0.67015,0.62992,0.66612,0.39777,0.51417,0.65656,0.25754,0.007723,0.007723,0.007723
71,15824.1,0.58943,0.67876,0.23693,0.67865,0.63002,0.66821,0.39748,0.50809,0.66841,0.25045,0.00769,0.00769,0.00769
72,16015.5,0.60305,0.66221,0.23229,0.66455,0.6476,0.67755,0.40953,0.50156,0.64109,0.25443,0.007657,0.007657,0.007657
